x_min,x_max,y_min,y_max,r,g,b
-25.0,-24.0,19.0,20.0,0,0,0
-25.0,-24.0,18.0,19.0,0,0,0
-25.0,-24.0,17.0,18.0,0,0,0
-25.0,-24.0,16.0,17.0,0,0,0
-25.0,-24.0,15.0,16.0,0,0,0
-25.0,-24.0,14.0,15.0,0,0,0
-25.0,-24.0,13.0,14.0,0,0,0
-25.0,-24.0,12.0,13.0,0,0,0
-25.0,-24.0,11.0,12.0,0,0,0
-25.0,-24.0,10.0,11.0,0,0,0
-25.0,-24.0,9.0,10.0,0,0,0
-25.0,-24.0,8.0,9.0,0,0,0
-25.0,-24.0,7.0,8.0,0,0,0
-25.0,-24.0,6.0,7.0,0,0,0
-25.0,-24.0,5.0,6.0,0,0,0
-25.0,-24.0,4.0,5.0,0,0,0
-25.0,-24.0,3.0,4.0,0,0,0
-25.0,-24.0,2.0,3.0,0,0,0
-25.0,-24.0,1.0,2.0,0,0,0
-25.0,-24.0,0.0,1.0,0,0,0
-25.0,-24.0,-1.0,0.0,0,0,0
-25.0,-24.0,-2.0,-1.0,0,10,212
-25.0,-24.0,-3.0,-2.0,1,103,164
-25.0,-24.0,-4.0,-3.0,17,223,3
-25.0,-24.0,-5.0,-4.0,2,221,3
-25.0,-24.0,-6.0,-5.0,0,83,185
-25.0,-24.0,-7.0,-6.0,0,0,0
-25.0,-24.0,-8.0,-7.0,0,0,0
-25.0,-24.0,-9.0,-8.0,0,0,0
-25.0,-24.0,-10.0,-9.0,0,0,0
-25.0,-24.0,-11.0,-10.0,0,0,0
-25.0,-24.0,-12.0,-11.0,0,0,0
-25.0,-24.0,-13.0,-12.0,0,0,0
-25.0,-24.0,-14.0,-13.0,0,0,0
-25.0,-24.0,-15.0,-14.0,0,0,0
-25.0,-24.0,-16.0,-15.0,0,0,0
-25.0,-24.0,-17.0,-16.0,0,0,0
-25.0,-24.0,-18.0,-17.0,0,0,0
-25.0,-24.0,-19.0,-18.0,0,0,0
-25.0,-24.0,-20.0,-19.0,0,0,0
-25.0,-24.0,-21.0,-20.0,0,0,0
-25.0,-24.0,-22.0,-21.0,0,0,0
-25.0,-24.0,-23.0,-22.0,0,0,0
-25.0,-24.0,-24.0,-23.0,0,0,0
-25.0,-24.0,-25.0,-24.0,0,0,0
-25.0,-24.0,-26.0,-25.0,0,0,0
-25.0,-24.0,-27.0,-26.0,0,0,0
-25.0,-24.0,-28.0,-27.0,0,0,0
-25.0,-24.0,-29.0,-28.0,0,0,0
-25.0,-24.0,-30.0,-29.0,0,0,0
-24.0,-23.0,19.0,20.0,0,0,0
-24.0,-23.0,18.0,19.0,0,0,0
-24.0,-23.0,17.0,18.0,0,0,0
-24.0,-23.0,16.0,17.0,0,0,0
-24.0,-23.0,15.0,16.0,0,0,0
-24.0,-23.0,14.0,15.0,0,0,0
-24.0,-23.0,13.0,14.0,0,0,0
-24.0,-23.0,12.0,13.0,0,0,0
-24.0,-23.0,11.0,12.0,0,0,0
-24.0,-23.0,10.0,11.0,0,0,0
-24.0,-23.0,9.0,10.0,0,0,0
-24.0,-23.0,8.0,9.0,0,0,0
-24.0,-23.0,7.0,8.0,0,0,0
-24.0,-23.0,6.0,7.0,0,0,0
-24.0,-23.0,5.0,6.0,0,0,0
-24.0,-23.0,4.0,5.0,0,0,0
-24.0,-23.0,3.0,4.0,0,0,0
-24.0,-23.0,2.0,3.0,0,0,0
-24.0,-23.0,1.0,2.0,0,0,0
-24.0,-23.0,0.0,1.0,0,0,0
-24.0,-23.0,-1.0,0.0,0,0,196
-24.0,-23.0,-2.0,-1.0,0,105,173
-24.0,-23.0,-3.0,-2.0,155,239,0
-24.0,-23.0,-4.0,-3.0,197,236,0
-24.0,-23.0,-5.0,-4.0,21,241,0
-24.0,-23.0,-6.0,-5.0,8,111,120
-24.0,-23.0,-7.0,-6.0,31,133,35
-24.0,-23.0,-8.0,-7.0,0,0,0
-24.0,-23.0,-9.0,-8.0,0,0,0
-24.0,-23.0,-10.0,-9.0,0,0,0
-24.0,-23.0,-11.0,-10.0,0,0,0
-24.0,-23.0,-12.0,-11.0,0,0,0
-24.0,-23.0,-13.0,-12.0,0,0,0
-24.0,-23.0,-14.0,-13.0,0,0,0
-24.0,-23.0,-15.0,-14.0,0,0,0
